FishID,Release_Group_binned,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
855,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
856,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,NA,17,NA,NA,NA,NA,NA,NA,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,NA,NA
857,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
858,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,NA,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
859,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
860,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
861,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
862,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
863,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
864,1,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5,16.5
